store,raw_product_type,product_count,canonical_category
kotsovolos,"Ψηστιέρες, Γκριλιέρες",15,
kotsovolos,Ζυγαριές Μπάνιου,15,
kotsovolos,Καθαριότητα στην Κουζίνα,14,
kotsovolos,Μίξερ Χειρός,14,
kotsovolos,Περιφερειακά PC,14,
kotsovolos,Όλες οι λάμπες και οι λαμπτήρες,14,
kotsovolos,Τηλεχειριστήρια,13,
kotsovolos,Σκούπες Stick Wet & Dry,13,vacuums
kotsovolos,Ηλεκτρικά Ποδήλατα,13,
kotsovolos,Multistylers,13,
kotsovolos,Ανταλλακτικά,13,
kotsovolos,Επαναφορτιζόμενες Μπαταρίες,13,
kotsovolos,Ράδιο CD - MP3,12,
kotsovolos,Υγραντήρες,12,
kotsovolos,Αποχυμωτές,12,
kotsovolos,Αξεσουάρ για Σίδερα,12,
kotsovolos,Κατσαρόλες,12,
kotsovolos,Χειριστήρια PS5,12,
kotsovolos,Περιφερειακά Xbox Series,12,
kotsovolos,Bluetooth Neckband,11,headphones
kotsovolos,Ραδιόφωνα,11,
kotsovolos,Φορητά Ραδιο-CD,11,
kotsovolos,Όλοι οι μετεωρολογικοί σταθμοί,11,
kotsovolos,Εξωτερικοί HDD,11,
kotsovolos,Εξωτερικοί SSD,11,
kotsovolos,Στίφτες,11,
kotsovolos,Περιφερειακά PS4,11,
kotsovolos,Περιφερειακά Nintendo Switch 2,11,
kotsovolos,"Switch, Access Points",10,
kotsovolos,Μηχανές Ροφημάτων,10,coffee_machines
kotsovolos,Χύτρες Ταχύτητος,10,
kotsovolos,Φορτιστές Μπαταριών,10,
kotsovolos,Καφετιέρες,9,coffee_machines
kotsovolos,Φροντίδα Ψυγείων,9,
kotsovolos,Web Cams,9,
kotsovolos,Home - Office Software,9,
kotsovolos,Συσκευές για αφρόγαλα και Μύλοι άλεσης καφέ,9,
kotsovolos,Σιδερώστρες,9,
kotsovolos,Ζυγαριές,9,
kotsovolos,Αξεσουάρ Μαγειρικής,9,
kotsovolos,Αξεσουάρ Air Fryers,9,
kotsovolos,Γάστρες - Ταψιά,9,
kotsovolos,Gaming Gadgets,9,
kotsovolos,Ψησταριές Υγραερίου,9,
kotsovolos,Hi Fi,8,speakers
